iid bid
35003 756
2041 206
36437 20
48506 284
492 243
817 832
38352 358
22032 90
44573 284
50718 284
90709 930
29137 20
49767 41
6171 452
22860 284
55609 284
453 965
51523 158
34046 41
80251 893
62491 233
71317 358
34209 355
12622 979
32693 575
66425 368
39623 45
8381 437
86984 472
91573 437
4334 521
86879 312
81477 657
12009 113
88317 893
62697 207
51648 358
57896 246
91939 358
40853 97
47718 358
43148 355
90683 589
39049 19
92310 283
84627 243
17296 284
74594 465
9161 19
20582 19
347 34
65792 460
75903 832
45139 22
4521 34
1943 998
23477 688
7806 638
95215 574
23649 185
4739 895
80575 345
90413 425
54664 345
24807 345
70407 507
9820 345
11316 345
6255 351
9908 34
2937 900
20711 507
36359 900
23359 936
24233 169
23028 492
6387 527
1743 77
402 77
12872 278
9521 278
416 472
85619 638
75002 381
25382 433
25133 433
71330 575
4683 575
14040 200
74856 900
80665 284
76341 900
72423 791
80827 121
5092 638
40280 34
85301 253
9108 276
68321 688
1337 221
8592 688
39956 97
53917 284
10423 801
4875 358
95256 893
41400 575
12657 175
79774 832
75734 633
4215 835
85004 607
71336 835
34638 575
65969 26
33115 667
36582 667
35188 667
12386 19
33993 26
12361 465
23706 465
76250 243
188 284
14019 330
75572 254
81203 34
89557 284
18049 77
67650 472
18032 91
67648 175
18031 173
26356 168
71190 6
738 34
34754 6
15670 689
23767 284
18594 575
741 660
1177 575
10650 284
33595 109
36931 340
79924 284
947 97
30763 39
26122 284
9124 690
36694 19
47889 358
1388 284
2468 5
65828 6
65639 6
65188 727
63554 6
58298 284
61313 6
63022 246
59013 246
59890 6
58007 893
60535 284
61927 6
65271 340
64924 708
65172 918
64891 358
65408 156
11690 141
62887 6
63219 358
61147 345
64768 462
65121 122
62105 284
61145 284
53159 815
16792 228
54590 6
62605 358
61609 358
48023 6
62392 776
61749 412
62730 413
1485 5
68865 284
57089 6
58612 6
92808 893
62991 184
63032 358
63102 33
50177 32
58919 589
60795 138
60843 6
61942 358
55384 6
60358 26
56535 33
62155 49
62517 334
62987 345
61713 284
62640 987
62933 63
60807 156
48251 6
61292 345
56336 6
60099 345
93650 284
7112 757
59743 6
61741 6
59913 243
61344 113
60970 774
84257 6
61788 340
61613 169
57662 6
53777 184
60962 374
60222 32
56262 44
61532 222
46527 147
50548 184
60012 32
94958 284
60776 900
58896 131
60834 19
47277 832
47348 832
50519 284
60496 284
57449 49
8988 683
60271 284
60433 6
58244 836
56568 60
52180 799
53165 19
57950 19
59585 25
58898 344
41027 184
57940 6
58160 360
58873 930
10913 284
94945 284
50401 485
59086 6
55895 589
50386 345
55894 589
51189 684
56949 987
50969 145
57835 63
57681 875
56051 63
55844 284
57083 508
56817 509
52003 659
56774 508
57461 61
4775 539
56327 749
57623 19
55860 297
53649 284
45243 334
55052 276
49635 5
40212 123
54781 6
47000 345
56306 243
49999 113
39442 6
55666 243
75374 135
53868 284
53914 77
54998 19
54444 589
47853 589
55095 373
51506 500
54113 284
55108 184
55697 243
55717 284
50404 32
48450 284
54413 209
51138 6
4561 857
52852 383
53729 916
45195 972
51289 360
46736 284
32526 900
53482 19
45568 809
53371 683
51415 135
53437 276
53290 893
53132 381
51533 284
49537 632
52425 996
51429 928
50023 233
46808 63
51163 345
50576 918
30106 185
48503 184
50446 589
91898 880
51313 284
49170 381
49975 819
46616 284
49410 198
94424 6
48987 959
49692 145
46220 33
49076 284
49034 190
48485 63
37267 606
49282 284
44875 345
46813 708
43259 243
48859 284
44616 589
46807 63
48484 589
48277 184
46074 404
45591 589
45009 210
46552 819
48680 345
46756 89
82115 130
44544 113
91901 130
88893 284
43380 589
44092 509
45451 32
46655 122
43984 284
45751 43
45059 584
39567 801
44243 246
33689 436
45325 43
87418 6
45566 41
45981 63
46028 184
44181 470
37827 297
39243 169
42795 60
44417 280
43096 243
43081 385
44082 285
66355 284
45820 206
44397 246
43923 284
44885 996
44237 501
86731 574
43290 120
45423 6
43084 243
44152 832
43695 358
43292 43
88873 358
41632 276
43601 86
26814 284
41778 284
44057 381
41191 42
41780 656
43333 33
39570 6
42488 815
41367 109
41359 246
86729 298
44279 6
42823 130
39873 158
42604 338
93710 358
43136 114
40033 345
42623 381
39577 284
85122 284
42392 6
32999 41
41794 930
41143 6
87395 819
823 284
86728 298
42410 727
7480 358
90596 340
29812 156
39565 284
86190 298
41189 6
86181 298
40582 686
41181 511
39105 198
39618 108
92927 819
41151 794
3916 185
33947 184
39353 13
86101 185
39615 284
39411 169
35889 284
37624 635
39590 6
39239 530
38920 206
80038 727
11599 284
74263 99
12144 448
31289 16
74475 771
37695 875
31285 16
84419 345
28874 893
31288 16
38594 12
11600 63
31283 16
28223 63
37976 930
31284 16
28873 358
33505 131
38219 284
29155 44
31165 16
29422 893
32541 345
31286 16
31290 16
29156 815
29323 261
28842 26
37957 109
29573 32
11652 284
77182 492
29941 175
29940 651
28795 184
32144 893
30287 345
27139 632
29942 472
11596 632
33963 397
30696 284
33498 893
32411 595
29943 472
30949 345
30124 5
32448 246
6731 284
93654 222
30484 108
6474 589
91561 413
9345 688
28238 513
94646 632
9344 920
94943 25
36045 345
87045 243
95834 683
4528 364
30547 284
30128 916
29314 284
30006 6
28706 284
28407 714
29202 201
30278 157
28126 922
32544 233
5652 40
8343 113
8982 266
65077 414
29657 832
88423 511
89711 167
27017 727
86160 298
86182 298
27020 13
86183 645
28218 688
29683 765
35735 765
5223 285
4601 401
7408 404
7598 236
64726 184
69420 284
4581 13
11450 113
94415 893
26700 358
8463 42
90579 413
4293 887
27028 848
11940 131
27030 832
87835 243
89424 86
26781 233
34417 358
86913 612
5605 345
94718 284
5672 360
5045 401
93135 589
26712 13
63880 113
88106 284
8486 25
27063 13
65072 184
87042 63
7910 109
92893 284
94363 358
4342 42
10571 94
6020 832
5894 585
89065 832
91379 109
11472 284
86552 832
11989 992
5109 900
74962 887
89762 404
81612 94
90955 44
5690 683
89948 832
94119 374
11087 167
4910 893
7640 284
7105 284
6976 284
74601 893
11430 589
5633 109
11525 330
87834 184
84941 145
81617 284
8366 233
93819 6
88780 638
7539 284
70652 832
94582 148
92358 109
95787 284
80507 198
94967 589
4043 284
5111 284
6962 887
64544 284
9600 893
4219 284
2120 131
87520 477
89959 500
17978 26
95281 500
86204 815
93566 768
92816 44
91383 130
92129 284
86311 70
78464 996
14473 530
7914 523
23816 523
31969 109
8068 139
22371 86
8153 523
27997 139
67068 139
65134 139
83495 139
6126 139
23461 358
19172 358
13093 139
26307 169
2087 523
573 523
33536 523
33629 523
9931 523
89938 139
23751 139
87102 139
8334 139
42731 358
2191 523
15638 109
7139 275
25455 448
53027 320
11861 243
86299 284
18046 637
39761 358
89426 148
47657 284
55514 200
32584 472
29068 368
46123 448
45619 60
42369 448
50365 148
47471 662
55989 962
46554 662
55288 66
49585 448
38034 732
70002 758
46555 662
11816 358
41343 47
42677 662
85785 224
82078 284
42360 263
29536 956
37685 229
18056 801
23313 575
39874 801
87674 284
40356 662
40052 448
29067 224
18953 224
1114 60
39686 206
4998 495
79994 648
90228 495
82967 944
88493 284
26873 66
81258 224
90841 60
10793 520
73152 887
86859 381
71474 284
86604 708
1234 175
5205 284
84974 224
90278 987
73151 284
5892 284
19241 689
88432 448
80623 950
93979 224
18118 551
18459 224
17338 224
19626 224
88709 222
3616 224
84161 60
74710 448
18037 224
77076 60
25349 224
81557 19
84957 689
25602 60
84516 60
77436 224
77434 243
77433 224
32495 284
83998 662
23636 45
16117 45
87191 465
81271 509
32061 662
1009 273
25622 284
17113 950
4754 90
16284 472
14981 495
71072 662
57830 122
87152 880
50342 388
35462 254
60264 607
56490 699
4575 815
33884 893
46575 388
46690 158
48568 607
5727 436
78299 184
43452 358
40929 593
53210 41
53251 273
39231 950
84504 254
70335 900
93422 156
48514 284
47226 632
5929 6
81020 20
35603 777
46030 6
71952 262
45410 511
43837 284
80639 157
43094 225
14715 284
42215 714
82816 340
74676 764
3030 200
40792 340
76897 607
83493 243
77053 41
88786 20
30883 443
28359 443
93247 589
59755 443
4015 340
66608 577
80171 20
5310 284
85415 621
83691 358
18926 284
89071 893
809 284
67931 574
36577 509
17692 638
17367 19
64329 330
88989 276
6176 34
2022 284
23205 90
13412 714
24196 345
28644 19
66064 39
3306 243
71249 47
17600 358
22011 117
37578 394
5956 801
95619 183
95618 935
30026 243
10005 695
14592 358
30379 934
14588 92
17511 145
12537 26
15456 26
15423 455
34348 340
73072 199
80916 284
17156 284
36588 284
70104 284
33394 622
22641 825
53120 113
77397 233
6178 492
66207 893
86914 284
86916 284
61752 222
49055 221
90390 848
90988 451
83286 358
9006 6
70862 943
1547 19
65189 606
85811 20
14974 243
45955 499
29565 413
86674 145
2260 583
88572 286
2625 284
26103 228
4934 626
78078 735
57465 202
88857 109
63698 284
76348 448
18828 284
74312 832
68355 284
34982 284
17326 185
13813 284
6112 284
7978 509
1390 917
496 284
63151 19
95273 138
58187 832
55904 320
55607 320
10010 449
55464 449
52204 449
10785 987
49768 42
57243 888
52853 521
12071 160
52832 521
50770 521
47292 521
34744 34
54948 893
50637 284
53465 826
92887 407
70398 368
68386 472
27146 472
53480 312
34620 472
37325 368
35969 368
84375 472
49303 366
52710 345
50009 449
44815 183
94417 472
89556 129
77019 843
44226 533
17678 472
41981 284
40011 190
80460 400
11062 246
31126 340
86673 893
48176 632
38939 19
33433 449
15574 340
75855 893
13468 731
33089 303
6221 283
1807 283
6370 283
60482 997
60429 123
54360 86
59118 281
58262 284
58261 284
57272 284
57271 284
60374 358
57852 358
54894 358
51615 358
49529 358
21754 575
64063 6
53194 32
409 330
11086 284
20249 79
21031 79
83571 358
80634 358
84881 470
75574 575
5001 20
95018 284
50147 11
65719 243
22430 6
45010 791
25402 593
3804 360
27269 183
39738 575
46296 270
47099 270
94788 832
93199 183
42781 358
89323 11
43733 832
48134 243
72407 708
44651 63
94497 930
85023 183
89953 919
48192 358
44723 672
44934 791
70607 15
83793 123
11268 630
42160 358
47757 448
2079 358
47737 935
45598 358
66364 32
46622 575
45720 448
74691 626
9250 6
43735 791
32926 358
43996 632
4666 438
44936 284
30033 6
45156 284
83456 217
38562 25
80557 640
41502 221
44958 358
30030 667
70847 19
86616 358
75108 672
75310 19
77077 413
44374 385
11107 667
95234 284
85963 667
35862 113
69949 183
88360 358
22691 243
22295 243
32546 358
79152 284
39015 355
38841 26
5445 358
79846 271
75758 801
37639 248
38825 243
86483 987
41217 487
41218 6
37669 75
29701 61
29999 248
66760 509
26782 473
29936 801
69797 184
37986 463
75272 62
22350 575
78634 284
12145 448
9034 690
79916 135
16383 935
8256 284
19796 690
13648 884
19660 287
35904 498
5900 498
88614 472
32571 11
29061 935
24852 6
5573 243
29934 801
16315 191
8 407
23100 284
16382 801
69749 243
28838 129
92479 123
2903 53
29060 935
9117 175
26858 682
30423 284
29714 6
29715 781
2874 6
94991 943
5957 388
19458 943
27003 683
5135 470
78662 575
94719 248
5752 749
1696 43
11105 801
10136 270
86152 191
16059 682
94553 45
81601 6
5728 801
94585 25
93208 340
11649 10
15071 183
73706 32
15261 243
2557 11
13924 935
64808 26
34640 32
82885 801
83640 284
67670 26
79575 62
30590 32
83744 62
78801 374
22130 6
84913 41
68500 129
74684 990
22129 492
75226 509
77429 759
89670 51
76092 233
23335 550
84352 284
30577 801
16544 597
76075 138
92167 51
82264 358
79514 11
26396 284
72953 243
92135 248
18289 358
92349 589
6082 19
14849 714
35948 109
86881 169
83679 44
36709 32
13333 70
83857 470
971 330
25854 492
81348 922
23973 284
87088 6
90194 638
90999 284
70918 801
80091 4
84645 6
77209 284
1808 243
23925 284
79443 695
83788 284
75539 276
76594 169
71175 275
25586 123
86399 443
588 123
17813 243
19883 472
75920 60
13839 60
27475 11
30182 180
78381 11
76525 893
2035 34
32520 243
69773 284
37013 284
74366 284
33535 41
73494 11
64284 284
74175 284
70144 879
64748 77
17019 284
63979 368
19009 32
72439 589
8238 593
64797 284
40122 185
34378 470
6479 920
82635 920
12153 129
89174 920
27493 920
88392 920
93429 108
15826 284
93099 127
4793 920
77124 716
30933 920
86748 108
5237 108
93708 920
84940 108
93715 159
79953 284
93788 19
83710 243
27540 104
768 470
33385 104
74075 185
28508 832
69020 243
2552 330
54468 169
28904 358
51579 695
49420 6
40994 281
46085 284
38023 470
42426 284
40634 358
28189 6
13926 935
13928 935
90930 284
69333 641
70359 969
38106 19
26193 284
74961 284
1023 253
95541 360
92697 680
37372 969
26214 19
18804 801
86210 809
5265 284
94036 221
94449 477
3721 63
87611 19
86159 19
17489 8
30942 276
94335 665
83592 6
87974 880
80643 880
88377 695
23824 121
31422 814
18909 256
22487 509
23954 814
81785 477
77324 330
79439 695
76433 695
67379 203
71692 320
53993 246
52441 345
53991 345
32281 244
78630 284
15382 207
6131 727
39178 801
18522 19
35389 366
1328 987
32698 475
15356 479
61164 148
59069 148
41166 62
30170 667
3665 667
60372 66
51555 275
58337 189
11204 893
12020 893
12022 893
12019 893
6065 893
6064 893
42046 667
86214 66
77196 66
34121 667
44932 667
43098 667
6063 893
3759 893
59280 580
38851 275
94634 340
44454 922
11478 667
51960 62
54149 62
51590 667
48065 19
48470 667
49554 667
49553 667
56129 198
94849 893
49084 667
48196 667
94979 893
74543 19
71178 19
64540 19
34930 19
30592 19
25639 19
24055 19
46891 275
24287 667
47443 284
39474 667
32502 667
80281 667
76267 667
71004 667
35813 667
30776 667
39824 62
2121 198
91276 275
40290 275
34379 62
93091 19
3535 932
94574 206
44840 66
43921 19
83046 66
91528 66
12425 77
18401 19
29020 275
9356 275
16603 284
22362 709
35563 275
76397 19
31200 284
85454 340
95820 893
72281 243
11279 893
92672 77
94714 62
17443 19
17884 19
18416 19
300 19
95313 455
82805 832
16855 138
16907 138
80310 138
35929 275
74959 198
6409 832
29017 66
89112 62
70667 893
79943 509
7706 284
73363 19
31491 19
8755 19
21190 19
22670 19
15440 19
71645 19
71398 19
78627 996
86858 19
35408 340
69596 922
26240 19
5827 128
28593 198
21895 19
7879 198
64800 19
93732 19
87379 340
75271 303
63989 340
3343 893
2244 275
37303 893
1372 345
34056 275
81603 275
67178 275
9640 612
18487 19
73908 612
37435 185
18621 345
18002 893
51647 70
45486 113
13751 376
82189 840
44167 714
45308 6
90332 284
70436 604
38946 169
2317 233
84521 801
76656 19
6035 113
89354 652
88178 987
1911 284
68169 266
14647 714
29876 630
17546 228
65279 98
58535 360
72242 930
49776 184
61842 184
36570 122
61850 4
65186 360
61844 350
62558 98
63074 26
64896 98
88585 98
63261 445
50346 184
61645 284
59943 360
63217 184
63027 43
45260 360
62363 61
35922 930
71925 589
61754 360
62330 445
57930 374
44960 122
46925 374
41634 184
1396 98
48952 445
44450 360
52580 184
32870 233
61285 508
57096 930
53128 589
69144 61
5782 122
41186 184
79690 360
4937 955
61591 26
61049 184
54104 293
44654 445
53119 293
33510 184
3506 623
61101 293
46537 508
59827 508
30042 321
51931 374
59944 698
56241 33
60855 98
48833 445
60755 930
33509 623
23629 184
47871 535
53310 4
35984 720
58135 26
44267 406
38463 184
45588 4
51225 374
49701 360
57934 589
40767 930
56427 988
80521 184
29562 297
57254 589
29693 360
60314 293
5100 360
92404 184
84078 930
60868 122
49949 374
60367 738
55001 623
58465 832
33809 184
41295 33
60500 184
54035 589
58852 930
59572 33
52595 589
36074 284
41154 926
46930 89
84938 184
86274 184
43846 293
43442 184
55115 184
56729 276
48074 61
44735 184
34708 122
42074 930
76321 930
57868 508
80803 98
6961 589
82154 589
54812 245
7300 397
38644 374
42824 130
9990 184
46393 589
52901 930
42992 360
53791 589
32424 5
56475 445
6925 589
57853 184
49680 589
94257 589
49468 445
92773 680
54903 169
47711 589
85112 169
49961 589
38649 623
57288 98
32869 184
8405 680
46144 589
89414 184
30960 516
63806 589
45565 930
43713 184
3824 589
4936 955
91647 374
71912 61
42283 589
57859 360
47068 589
810 253
35950 5
74205 516
54443 293
55158 33
64421 404
87820 589
41908 293
47102 589
30438 899
4617 589
92210 589
31632 374
17809 930
64427 404
11802 589
42279 589
33320 184
46837 293
34052 930
5788 293
64425 404
29835 297
82692 680
54263 445
45489 5
48563 589
50304 284
45179 613
7227 117
5958 589
76693 184
2288 192
17761 13
40189 184
79347 184
88246 2
3110 458
83049 374
21884 374
39002 5
52210 89
24001 626
30325 930
48713 5
30279 930
42204 508
25881 184
84677 184
93248 589
54055 2
43286 13
42281 404
29376 2
6914 406
54320 930
2162 508
41786 589
47710 589
50938 33
43517 930
35080 184
49977 33
1662 184
46708 293
85116 266
75100 832
37617 988
42088 122
44901 930
16446 98
29312 930
6868 109
9500 184
88800 887
70820 297
42593 297
5232 508
6040 508
44466 380
13766 887
29818 508
39519 508
5715 425
10085 406
14925 680
39220 109
24075 395
23613 109
65618 665
86117 483
26039 483
9051 41
72453 206
74267 750
67960 34
25467 395
1698 395
58717 19
13927 935
20320 575
4217 887
42713 918
176 19
4236 284
553 42
463 832
16730 501
17943 659
65537 340
59144 42
65479 340
65110 6
48715 202
6858 104
47442 429
63297 358
64675 832
72422 123
62367 6
58786 358
75871 63
55145 284
61496 93
23377 285
53903 395
50611 243
41331 801
53761 692
25300 158
51459 156
71313 477
38748 614
11468 113
13056 246
49160 284
83285 574
6191 797
12889 164
6646 825
14962 284
94982 246
92895 929
22117 284
22211 574
92165 51
80180 274
36336 284
17230 264
9121 690
7932 284
85957 246
81374 284
944 366
24796 54
79877 169
92529 284
79925 358
75661 358
19376 264
21915 753
56884 328
38847 328
37502 557
31527 847
28130 328
11248 328
8942 328
7355 284
5058 25
40942 243
72885 805
55111 39
94298 243
36516 284
69707 371
2093 343
24795 991
10421 801
34716 998
1579 206
80368 509
72660 284
87398 555
69257 97
75898 169
1704 812
87991 731
91686 413
91440 11
32471 472
35745 284
8628 372
83014 330
28712 11
72810 11
29347 6
94403 191
3370 11
86461 71
2116 448
79519 122
84511 540
81556 11
79969 11
84971 11
31473 71
21738 71
5064 11
5947 11
91132 131
89833 11
27399 6
78480 71
8782 284
92644 39
91963 71
3371 11
66102 11
74547 39
93287 71
79382 71
71113 39
4782 583
1227 207
26068 210
16377 19
22676 887
84942 248
83677 358
7513 39
88851 148
85180 812
91637 203
71514 71
86343 71
7430 11
86344 39
95458 39
3580 6
86455 39
85702 775
80408 263
24958 263
78885 191
95607 11
83551 240
24964 263
85052 284
70933 284
76901 371
62111 19
40308 832
22655 501
85113 434
56769 6
95761 740
44191 256
64892 284
62078 358
61875 421
61627 6
59794 243
60827 290
60714 893
57641 996
57103 19
18900 749
55194 893
55568 921
49734 109
52367 138
45957 183
45954 183
75268 26
33552 243
33514 243
78584 911
40206 472
17576 749
357 345
29030 472
4332 472
37284 472
28748 169
26653 381
88492 38
24721 284
91021 764
24340 832
22630 38
68129 38
78387 169
34997 967
85906 832
84387 887
81377 832
14954 38
22871 284
78000 19
14584 989
35962 832
35665 530
75414 812
28546 38
34085 233
35759 89
70990 6
37186 887
34065 38
5152 887
2168 381
24398 38
6277 109
6599 109
943 996
8822 832
2242 395
982 169
12879 832
13496 109
6595 19
641 358
8539 169
3040 725
3139 13
3498 38
39418 448
24885 575
3689 353
86713 345
76850 206
